name," cpu"," cpu benchmark"," ram"," screen size"," storage"," design",price," url"
dell vostro 15 3000," Intel Core i7-1165G7","10,331"," 16"," 15.6"," 500"," 5/10","17,850"," "
HP Victus," AMD Ryzen 5 7535HS","18,326"," 8","15.6"," 512",,,"https://www.amazon.com/HP-Victus-GeForce-Backlit-Windows/dp/B0CCXHXZVP/ref=sr_1_7?qid=1708034950&s=computers-intl-ship&sr=1-7"
Lenovo V15 Gen 4 Business Laptop,"AMD Ryzen 5 5500U","13,106","12",,,,,
ASUS Vivobook Go 15 OLED,"AMD Ryzen 5 7520U","9,462","8","15.6","512",,"26,999",
Lenovo Latest ThinkPad E15 Gen3,"AMD Ryzen 7 5700U","15,865","16","15.6","512",,"26,764.8",
Dell 2023 Newest Inspiron 14,"AMD Ryzen 7 5825U	","18,418","16","14","512",,"20,328","https://www.amazon.com/Dell-Inspiron-Processor-Graphics-Bluetooth/dp/B0C6KFP8K6/ref=sr_1_5?crid=GD10EWOYXSG8&keywords=laptop&qid=1708036395&refinements=p_n_feature_thirty-one_browse-bin%3A23716057011%2Cp_n_feature_four_browse-bin%3A18107801011%7C18107802011&rnid=676578011&s=pc&sprefix=l%2Caps%2C613&sr=1-5&th=1"
OEM Lenovo ThinkPad P14s,"AMD Ryzen 7 Pro 4750U","15,232","40","14","1024",,"20,110","https://www.amazon.com/ThinkPad-P14s-1920x1080-i7-1185G7-Fingerprint/dp/B09JPJTJVZ/ref=sr_1_6?crid=GD10EWOYXSG8&keywords=laptop&qid=1708036395&refinements=p_n_feature_thirty-one_browse-bin%3A23716057011%2Cp_n_feature_four_browse-bin%3A18107801011%7C18107802011&rnid=676578011&s=pc&sprefix=l%2Caps%2C613&sr=1-6&th=1"
,"AMD Ryzen 5 5500U","13,106","16",,,,,
,"AMD Ryzen 5 3500U","6,971",,,,,,
Lenovo IdeaPad Slim 3 15ABR8,"AMD Ryzen 7 7730U","18,836","8","15.6","512",,15216.18,"https://www.luluhypermarket.com/en-qa/lenovo-ideapad-slim-3-15abr8-laptop-15-6-fhd-amd/p/2134344"
"HP Notebook, 15.6","AMD Ryzen 7 7730U","18,836","16","15.6","512",,20279,
,"AMD Ryzen R7-5800H","21,115","16",,"512",,"16,906","https://www.luluhypermarket.com/en-qa/asus-vivobook-15-m1502qa-ej041w-amd-ryzen-r7-5800h-/p/2144039"